,SurahNumber,SurahName,Disjoined letters,Nbr of Ayat,Nbr of Letters,Nbr of words,Aya number,Arabic Text,Transliterated Text
982,7,Al-Aaraf, ,206,69,16,29,قل أمر ربي بالقسط وأقيموا وجوهكم عند كل مسجد وادعوه مخلصين له الدين كما بدأكم تعودون,9l amr rby bal9s6 wa9ymwa wjwhkm 3nd kl msjd wad3wh m5lcyn lh aldyn kma bdakm t3wdwn
983,7,Al-Aaraf, ,206,78,16,30,فريقا هدى وفريقا حق عليهم الضلالة إنهم اتخذوا الشياطين أولياء من دون الله ويحسبون أنهم مهتدون,fry9a hdu wfry9a 79 3lyhm al8lalt anhm at51wa al2ya6yn awlyaa mn dwn allh wy7sbwn anhm mhtdwn
984,7,Al-Aaraf, ,206,64,16,31,يا بني آدم خذوا زينتكم عند كل مسجد وكلوا واشربوا ولا تسرفوا إنه لا يحب المسرفين,ya bny adm 51wa zyntkm 3nd kl msjd wklwa wa2rbwa wla tsrfwa anh la y7b almsrfyn
985,7,Al-Aaraf, ,206,111,26,32,قل من حرم زينة الله التي أخرج لعباده والطيبات من الرزق قل هي للذين آمنوا في الحياة الدنيا خالصة يوم القيامة كذلك نفصل الآيات لقوم يعلمون,9l mn 7rm zynt allh alty a5rj l3badh wal6ybat mn alrz9 9l hy ll1yn amnwa fy al7yat aldnya 5alct ywm al9yamt k1lk nfcl alayat l9wm y3lmwn
986,7,Al-Aaraf, ,206,110,29,33,قل إنما حرم ربي الفواحش ما ظهر منها وما بطن والإثم والبغي بغير الحق وأن تشركوا بالله ما لم ينزل به سلطانا وأن تقولوا على الله ما لا تعلمون,9l anma 7rm rby alfwa72 ma 4hr mnha wma b6n wala0m walbgy bgyr al79 wan t2rkwa ballh ma lm ynzl bh sl6ana wan t9wlwa 3lu allh ma la t3lmwn
987,7,Al-Aaraf, ,206,47,11,34,ولكل أمة أجل فإذا جاء أجلهم لا يستأخرون ساعة ولا يستقدمون,wlkl amt ajl fa1a jaa ajlhm la ysta5rwn sa3t wla yst9dmwn
988,7,Al-Aaraf, ,206,74,19,35,يا بني آدم إما يأتينكم رسل منكم يقصون عليكم آياتي فمن اتقى وأصلح فلا خوف عليهم ولا هم يحزنون,ya bny adm ama yatynkm rsl mnkm y9cwn 3lykm ayaty fmn at9u wacl7 fla 5wf 3lyhm wla hm y7znwn
989,7,Al-Aaraf, ,206,58,11,36,والذين كذبوا بآياتنا واستكبروا عنها أولئك أصحاب النار هم فيها خالدون,wal1yn k1bwa bayatna wastkbrwa 3nha awlak ac7ab alnar hm fyha 5aldwn
990,7,Al-Aaraf, ,206,157,37,37,فمن أظلم ممن افترى على الله كذبا أو كذب بآياته أولئك ينالهم نصيبهم من الكتاب حتى إذا جاءتهم رسلنا يتوفونهم قالوا أين ما كنتم تدعون من دون الله قالوا ضلوا عنا وشهدوا على أنفسهم أنهم كانوا كافرين,fmn a4lm mmn aftru 3lu allh k1ba aw k1b bayath awlak ynalhm ncybhm mn alktab 7tu a1a jaathm rslna ytwfwnhm 9alwa ayn ma kntm td3wn mn dwn allh 9alwa 8lwa 3na w2hdwa 3lu anfshm anhm kanwa kafryn
991,7,Al-Aaraf, ,206,161,40,38,قال ادخلوا في أمم قد خلت من قبلكم من الجن والإنس في النار كلما دخلت أمة لعنت أختها حتى إذا اداركوا فيها جميعا قالت أخراهم لأولاهم ربنا هؤلاء أضلونا فآتهم عذابا ضعفا من النار قال لكل ضعف ولكن لا تعلمون,9al ad5lwa fy amm 9d 5lt mn 9blkm mn aljn walans fy alnar klma d5lt amt l3nt a5tha 7tu a1a adarkwa fyha jmy3a 9alt a5rahm lawlahm rbna halaa a8lwna fathm 31aba 83fa mn alnar 9al lkl 83f wlkn la t3lmwn
992,7,Al-Aaraf, ,206,62,14,39,وقالت أولاهم لأخراهم فما كان لكم علينا من فضل فذوقوا العذاب بما كنتم تكسبون,w9alt awlahm la5rahm fma kan lkm 3lyna mn f8l f1w9wa al31ab bma kntm tksbwn
993,7,Al-Aaraf, ,206,104,23,40,إن الذين كذبوا بآياتنا واستكبروا عنها لا تفتح لهم أبواب السماء ولا يدخلون الجنة حتى يلج الجمل في سم الخياط وكذلك نجزي المجرمين,an al1yn k1bwa bayatna wastkbrwa 3nha la tft7 lhm abwab alsmaa wla yd5lwn aljnt 7tu ylj aljml fy sm al5ya6 wk1lk njzy almjrmyn
994,7,Al-Aaraf, ,206,42,10,41,لهم من جهنم مهاد ومن فوقهم غواش وكذلك نجزي الظالمين,lhm mn jhnm mhad wmn fw9hm gwa2 wk1lk njzy al4almyn
995,7,Al-Aaraf, ,206,70,15,42,والذين آمنوا وعملوا الصالحات لا نكلف نفسا إلا وسعها أولئك أصحاب الجنة هم فيها خالدون,wal1yn amnwa w3mlwa alcal7at la nklf nfsa ala ws3ha awlak ac7ab aljnt hm fyha 5aldwn
996,7,Al-Aaraf, ,206,150,36,43,ونزعنا ما في صدورهم من غل تجري من تحتهم الأنهار وقالوا الحمد لله الذي هدانا لهذا وما كنا لنهتدي لولا أن هدانا الله لقد جاءت رسل ربنا بالحق ونودوا أن تلكم الجنة أورثتموها بما كنتم تعملون,wnz3na ma fy cdwrhm mn gl tjry mn t7thm alanhar w9alwa al7md llh al1y hdana lh1a wma kna lnhtdy lwla an hdana allh l9d jaat rsl rbna bal79 wnwdwa an tlkm aljnt awr0tmwha bma kntm t3mlwn
997,7,Al-Aaraf, ,206,110,28,44,ونادى أصحاب الجنة أصحاب النار أن قد وجدنا ما وعدنا ربنا حقا فهل وجدتم ما وعد ربكم حقا قالوا نعم فأذن مؤذن بينهم أن لعنة الله على الظالمين,wnadu ac7ab aljnt ac7ab alnar an 9d wjdna ma w3dna rbna 79a fhl wjdtm ma w3d rbkm 79a 9alwa n3m fa1n ma1n bynhm an l3nt allh 3lu al4almyn
998,7,Al-Aaraf, ,206,48,10,45,الذين يصدون عن سبيل الله ويبغونها عوجا وهم بالآخرة كافرون,al1yn ycdwn 3n sbyl allh wybgwnha 3wja whm bala5rt kafrwn
999,7,Al-Aaraf, ,206,87,18,46,وبينهما حجاب وعلى الأعراف رجال يعرفون كلا بسيماهم ونادوا أصحاب الجنة أن سلام عليكم لم يدخلوها وهم يطمعون,wbynhma 7jab w3lu ala3raf rjal y3rfwn kla bsymahm wnadwa ac7ab aljnt an slam 3lykm lm yd5lwha whm y6m3wn
1000,7,Al-Aaraf, ,206,62,13,47,وإذا صرفت أبصارهم تلقاء أصحاب النار قالوا ربنا لا تجعلنا مع القوم الظالمين,wa1a crft abcarhm tl9aa ac7ab alnar 9alwa rbna la tj3lna m3 al9wm al4almyn
1001,7,Al-Aaraf, ,206,72,14,48,ونادى أصحاب الأعراف رجالا يعرفونهم بسيماهم قالوا ما أغنى عنكم جمعكم وما كنتم تستكبرون,wnadu ac7ab ala3raf rjala y3rfwnhm bsymahm 9alwa ma agnu 3nkm jm3km wma kntm tstkbrwn
1002,7,Al-Aaraf, ,206,68,15,49,أهؤلاء الذين أقسمتم لا ينالهم الله برحمة ادخلوا الجنة لا خوف عليكم ولا أنتم تحزنون,ahalaa al1yn a9smtm la ynalhm allh br7mt ad5lwa aljnt la 5wf 3lykm wla antm t7znwn
1003,7,Al-Aaraf, ,206,87,20,50,ونادى أصحاب النار أصحاب الجنة أن أفيضوا علينا من الماء أو مما رزقكم الله قالوا إن الله حرمهما على الكافرين,wnadu ac7ab alnar ac7ab aljnt an afy8wa 3lyna mn almaa aw mma rz9km allh 9alwa an allh 7rmhma 3lu alkafryn
1004,7,Al-Aaraf, ,206,95,19,51,الذين اتخذوا دينهم لهوا ولعبا وغرتهم الحياة الدنيا فاليوم ننساهم كما نسوا لقاء يومهم هذا وما كانوا بآياتنا يجحدون,al1yn at51wa dynhm lhwa wl3ba wgrthm al7yat aldnya falywm nnsahm kma nswa l9aa ywmhm h1a wma kanwa bayatna yj7dwn
1005,7,Al-Aaraf, ,206,45,10,52,ولقد جئناهم بكتاب فصلناه على علم هدى ورحمة لقوم يؤمنون,wl9d janahm bktab fclnah 3lu 3lm hdu wr7mt l9wm yamnwn
1006,7,Al-Aaraf, ,206,146,38,53,هل ينظرون إلا تأويله يوم يأتي تأويله يقول الذين نسوه من قبل قد جاءت رسل ربنا بالحق فهل لنا من شفعاء فيشفعوا لنا أو نرد فنعمل غير الذي كنا نعمل قد خسروا أنفسهم وضل عنهم ما كانوا يفترون,hl yn4rwn ala tawylh ywm yaty tawylh y9wl al1yn nswh mn 9bl 9d jaat rsl rbna bal79 fhl lna mn 2f3aa fy2f3wa lna aw nrd fn3ml gyr al1y kna n3ml 9d 5srwa anfshm w8l 3nhm ma kanwa yftrwn
1007,7,Al-Aaraf, ,206,145,32,54,إن ربكم الله الذي خلق السماوات والأرض في ستة أيام ثم استوى على العرش يغشي الليل النهار يطلبه حثيثا والشمس والقمر والنجوم مسخرات بأمره ألا له الخلق والأمر تبارك الله رب العالمين,an rbkm allh al1y 5l9 alsmawat walar8 fy stt ayam 0m astwu 3lu al3r2 yg2y allyl alnhar y6lbh 70y0a wal2ms wal9mr walnjwm ms5rat bamrh ala lh al5l9 walamr tbark allh rb al3almyn
1008,7,Al-Aaraf, ,206,35,8,55,ادعوا ربكم تضرعا وخفية إنه لا يحب المعتدين,ad3wa rbkm t8r3a w5fyt anh la y7b alm3tdyn
1009,7,Al-Aaraf, ,206,65,15,56,ولا تفسدوا في الأرض بعد إصلاحها وادعوه خوفا وطمعا إن رحمت الله قريب من المحسنين,wla tfsdwa fy alar8 b3d acla7ha wad3wh 5wfa w6m3a an r7mt allh 9ryb mn alm7snyn
1010,7,Al-Aaraf, ,206,123,29,57,وهو الذي يرسل الرياح بشرا بين يدي رحمته حتى إذا أقلت سحابا ثقالا سقناه لبلد ميت فأنزلنا به الماء فأخرجنا به من كل الثمرات كذلك نخرج الموتى لعلكم تذكرون,whw al1y yrsl alrya7 b2ra byn ydy r7mth 7tu a1a a9lt s7aba 09ala s9nah lbld myt fanzlna bh almaa fa5rjna bh mn kl al0mrat k1lk n5rj almwtu l3lkm t1krwn
1011,7,Al-Aaraf, ,206,72,17,58,والبلد الطيب يخرج نباته بإذن ربه والذي خبث لا يخرج إلا نكدا كذلك نصرف الآيات لقوم يشكرون,walbld al6yb y5rj nbath ba1n rbh wal1y 5b0 la y5rj ala nkda k1lk ncrf alayat l9wm y2krwn
1012,7,Al-Aaraf, ,206,76,21,59,لقد أرسلنا نوحا إلى قومه فقال يا قوم اعبدوا الله ما لكم من إله غيره إني أخاف عليكم عذاب يوم عظيم,l9d arslna nw7a alu 9wmh f9al ya 9wm a3bdwa allh ma lkm mn alh gyrh any a5af 3lykm 31ab ywm 34ym
1013,7,Al-Aaraf, ,206,32,9,60,قال الملأ من قومه إنا لنراك في ضلال مبين,9al almla mn 9wmh ana lnrak fy 8lal mbyn
1014,7,Al-Aaraf, ,206,39,11,61,قال يا قوم ليس بي ضلالة ولكني رسول من رب العالمين,9al ya 9wm lys by 8lalt wlkny rswl mn rb al3almyn
1015,7,Al-Aaraf, ,206,44,11,62,أبلغكم رسالات ربي وأنصح لكم وأعلم من الله ما لا تعلمون,ablgkm rsalat rby wanc7 lkm wa3lm mn allh ma la t3lmwn
1016,7,Al-Aaraf, ,206,59,13,63,أوعجبتم أن جاءكم ذكر من ربكم على رجل منكم لينذركم ولتتقوا ولعلكم ترحمون,aw3jbtm an jaakm 1kr mn rbkm 3lu rjl mnkm lyn1rkm wltt9wa wl3lkm tr7mwn
1017,7,Al-Aaraf, ,206,71,14,64,فكذبوه فأنجيناه والذين معه في الفلك وأغرقنا الذين كذبوا بآياتنا إنهم كانوا قوما عمين,fk1bwh fanjynah wal1yn m3h fy alflk wagr9na al1yn k1bwa bayatna anhm kanwa 9wma 3myn
1018,7,Al-Aaraf, ,206,57,16,65,وإلى عاد أخاهم هودا قال يا قوم اعبدوا الله ما لكم من إله غيره أفلا تتقون,walu 3ad a5ahm hwda 9al ya 9wm a3bdwa allh ma lkm mn alh gyrh afla tt9wn
1019,7,Al-Aaraf, ,206,58,14,66,قال الملأ الذين كفروا من قومه إنا لنراك في سفاهة وإنا لنظنك من الكاذبين,9al almla al1yn kfrwa mn 9wmh ana lnrak fy sfaht wana ln4nk mn alka1byn
1020,7,Al-Aaraf, ,206,39,11,67,قال يا قوم ليس بي سفاهة ولكني رسول من رب العالمين,9al ya 9wm lys by sfaht wlkny rswl mn rb al3almyn
1021,7,Al-Aaraf, ,206,30,7,68,أبلغكم رسالات ربي وأنا لكم ناصح أمين,ablgkm rsalat rby wana lkm nac7 amyn
1022,7,Al-Aaraf, ,206,113,27,69,أوعجبتم أن جاءكم ذكر من ربكم على رجل منكم لينذركم واذكروا إذ جعلكم خلفاء من بعد قوم نوح وزادكم في الخلق بسطة فاذكروا آلاء الله لعلكم تفلحون,aw3jbtm an jaakm 1kr mn rbkm 3lu rjl mnkm lyn1rkm wa1krwa a1 j3lkm 5lfaa mn b3d 9wm nw7 wzadkm fy al5l9 bs6t fa1krwa alaa allh l3lkm tfl7wn
1023,7,Al-Aaraf, ,206,71,17,70,قالوا أجئتنا لنعبد الله وحده ونذر ما كان يعبد آباؤنا فأتنا بما تعدنا إن كنت من الصادقين,9alwa ajatna ln3bd allh w7dh wn1r ma kan y3bd abaana fatna bma t3dna an knt mn alcad9yn
1024,7,Al-Aaraf, ,206,107,25,71,قال قد وقع عليكم من ربكم رجس وغضب أتجادلونني في أسماء سميتموها أنتم وآباؤكم ما نزل الله بها من سلطان فانتظروا إني معكم من المنتظرين,9al 9d w93 3lykm mn rbkm rjs wg8b atjadlwnny fy asmaa smytmwha antm wabaakm ma nzl allh bha mn sl6an fant4rwa any m3km mn almnt4ryn
1025,7,Al-Aaraf, ,206,66,13,72,فأنجيناه والذين معه برحمة منا وقطعنا دابر الذين كذبوا بآياتنا وما كانوا مؤمنين,fanjynah wal1yn m3h br7mt mna w963na dabr al1yn k1bwa bayatna wma kanwa mamnyn
1026,7,Al-Aaraf, ,206,132,35,73,وإلى ثمود أخاهم صالحا قال يا قوم اعبدوا الله ما لكم من إله غيره قد جاءتكم بينة من ربكم هذه ناقة الله لكم آية فذروها تأكل في أرض الله ولا تمسوها بسوء فيأخذكم عذاب أليم,walu 0mwd a5ahm cal7a 9al ya 9wm a3bdwa allh ma lkm mn alh gyrh 9d jaatkm bynt mn rbkm h1h na9t allh lkm ayt f1rwha takl fy ar8 allh wla tmswha bswa fya51km 31ab alym
1027,7,Al-Aaraf, ,206,113,25,74,واذكروا إذ جعلكم خلفاء من بعد عاد وبوأكم في الأرض تتخذون من سهولها قصورا وتنحتون الجبال بيوتا فاذكروا آلاء الله ولا تعثوا في الأرض مفسدين,wa1krwa a1 j3lkm 5lfaa mn b3d 3ad wbwakm fy alar8 tt51wn mn shwlha 9cwra wtn7twn aljbal bywta fa1krwa alaa allh wla t30wa fy alar8 mfsdyn
1028,7,Al-Aaraf, ,206,96,23,75,قال الملأ الذين استكبروا من قومه للذين استضعفوا لمن آمن منهم أتعلمون أن صالحا مرسل من ربه قالوا إنا بما أرسل به مؤمنون,9al almla al1yn astkbrwa mn 9wmh ll1yn ast83fwa lmn amn mnhm at3lmwn an cal7a mrsl mn rbh 9alwa ana bma arsl bh mamnwn
1029,7,Al-Aaraf, ,206,37,8,76,قال الذين استكبروا إنا بالذي آمنتم به كافرون,9al al1yn astkbrwa ana bal1y amntm bh kafrwn
1030,7,Al-Aaraf, ,206,66,16,77,فعقروا الناقة وعتوا عن أمر ربهم وقالوا يا صالح ائتنا بما تعدنا إن كنت من المرسلين,f39rwa alna9t w3twa 3n amr rbhm w9alwa ya cal7 aatna bma t3dna an knt mn almrslyn
1031,7,Al-Aaraf, ,206,33,6,78,فأخذتهم الرجفة فأصبحوا في دارهم جاثمين,fa51thm alrjft facb7wa fy darhm ja0myn
1032,7,Al-Aaraf, ,206,63,15,79,فتولى عنهم وقال يا قوم لقد أبلغتكم رسالة ربي ونصحت لكم ولكن لا تحبون الناصحين,ftwlu 3nhm w9al ya 9wm l9d ablgtkm rsalt rby wnc7t lkm wlkn la t7bwn alnac7yn
1033,7,Al-Aaraf, ,206,53,13,80,ولوطا إذ قال لقومه أتأتون الفاحشة ما سبقكم بها من أحد من العالمين,wlw6a a1 9al l9wmh atatwn alfa72t ma sb9km bha mn a7d mn al3almyn
1034,7,Al-Aaraf, ,206,46,11,81,إنكم لتأتون الرجال شهوة من دون النساء بل أنتم قوم مسرفون,ankm ltatwn alrjal 2hwt mn dwn alnsaa bl antm 9wm msrfwn
1035,7,Al-Aaraf, ,206,54,13,82,وما كان جواب قومه إلا أن قالوا أخرجوهم من قريتكم إنهم أناس يتطهرون,wma kan jwab 9wmh ala an 9alwa a5rjwhm mn 9rytkm anhm anas yt6hrwn
1036,7,Al-Aaraf, ,206,36,7,83,فأنجيناه وأهله إلا امرأته كانت من الغابرين,fanjynah wahlh ala amrath kant mn algabryn
1037,7,Al-Aaraf, ,206,40,8,84,وأمطرنا عليهم مطرا فانظر كيف كان عاقبة المجرمين,wam6rna 3lyhm m6ra fan4r kyf kan 3a9bt almjrmyn
1038,7,Al-Aaraf, ,206,156,38,85,وإلى مدين أخاهم شعيبا قال يا قوم اعبدوا الله ما لكم من إله غيره قد جاءتكم بينة من ربكم فأوفوا الكيل والميزان ولا تبخسوا الناس أشياءهم ولا تفسدوا في الأرض بعد إصلاحها ذلكم خير لكم إن كنتم مؤمنين,walu mdyn a5ahm 23yba 9al ya 9wm a3bdwa allh ma lkm mn alh gyrh 9d jaatkm bynt mn rbkm fawfwa alkyl walmyzan wla tb5swa alnas a2yaahm wla tfsdwa fy alar8 b3d acla7ha 1lkm 5yr lkm an kntm mamnyn
1039,7,Al-Aaraf, ,206,107,24,86,ولا تقعدوا بكل صراط توعدون وتصدون عن سبيل الله من آمن به وتبغونها عوجا واذكروا إذ كنتم قليلا فكثركم وانظروا كيف كان عاقبة المفسدين,wla t93dwa bkl cra6 tw3dwn wtcdwn 3n sbyl allh mn amn bh wtbgwnha 3wja wa1krwa a1 kntm 9lyla fk0rkm wan4rwa kyf kan 3a9bt almfsdyn
1040,7,Al-Aaraf, ,206,83,19,87,وإن كان طائفة منكم آمنوا بالذي أرسلت به وطائفة لم يؤمنوا فاصبروا حتى يحكم الله بيننا وهو خير الحاكمين,wan kan 6aaft mnkm amnwa bal1y arslt bh w6aaft lm yamnwa facbrwa 7tu y7km allh bynna whw 5yr al7akmyn
1041,7,Al-Aaraf, ,206,93,22,88,قال الملأ الذين استكبروا من قومه لنخرجنك يا شعيب والذين آمنوا معك من قريتنا أو لتعودن في ملتنا قال أولو كنا كارهين,9al almla al1yn astkbrwa mn 9wmh ln5rjnk ya 23yb wal1yn amnwa m3k mn 9rytna aw lt3wdn fy mltna 9al awlw kna karhyn
1042,7,Al-Aaraf, ,206,159,42,89,قد افترينا على الله كذبا إن عدنا في ملتكم بعد إذ نجانا الله منها وما يكون لنا أن نعود فيها إلا أن يشاء الله ربنا وسع ربنا كل شيء علما على الله توكلنا ربنا افتح بيننا وبين قومنا بالحق وأنت خير الفاتحين,9d aftryna 3lu allh k1ba an 3dna fy mltkm b3d a1 njana allh mnha wma ykwn lna an n3wd fyha ala an y2aa allh rbna ws3 rbna kl 2ya 3lma 3lu allh twklna rbna aft7 bynna wbyn 9wmna bal79 want 5yr alfat7yn
1043,7,Al-Aaraf, ,206,53,12,90,وقال الملأ الذين كفروا من قومه لئن اتبعتم شعيبا إنكم إذا لخاسرون,w9al almla al1yn kfrwa mn 9wmh lan atb3tm 23yba ankm a1a l5asrwn
1044,7,Al-Aaraf, ,206,33,6,91,فأخذتهم الرجفة فأصبحوا في دارهم جاثمين,fa51thm alrjft facb7wa fy darhm ja0myn
1045,7,Al-Aaraf, ,206,59,13,92,الذين كذبوا شعيبا كأن لم يغنوا فيها الذين كذبوا شعيبا كانوا هم الخاسرين,al1yn k1bwa 23yba kan lm ygnwa fyha al1yn k1bwa 23yba kanwa hm al5asryn
1046,7,Al-Aaraf, ,206,64,16,93,فتولى عنهم وقال يا قوم لقد أبلغتكم رسالات ربي ونصحت لكم فكيف آسى على قوم كافرين,ftwlu 3nhm w9al ya 9wm l9d ablgtkm rsalat rby wnc7t lkm fkyf asu 3lu 9wm kafryn
1047,7,Al-Aaraf, ,206,59,13,94,وما أرسلنا في قرية من نبي إلا أخذنا أهلها بالبأساء والضراء لعلهم يضرعون,wma arslna fy 9ryt mn nby ala a51na ahlha balbasaa wal8raa l3lhm y8r3wn
1048,7,Al-Aaraf, ,206,82,18,95,ثم بدلنا مكان السيئة الحسنة حتى عفوا وقالوا قد مس آباءنا الضراء والسراء فأخذناهم بغتة وهم لا يشعرون,0m bdlna mkan alsyat al7snt 7tu 3fwa w9alwa 9d ms abaana al8raa walsraa fa51nahm bgtt whm la y23rwn
1049,7,Al-Aaraf, ,206,85,18,96,ولو أن أهل القرى آمنوا واتقوا لفتحنا عليهم بركات من السماء والأرض ولكن كذبوا فأخذناهم بما كانوا يكسبون,wlw an ahl al9ru amnwa wat9wa lft7na 3lyhm brkat mn alsmaa walar8 wlkn k1bwa fa51nahm bma kanwa yksbwn
1050,7,Al-Aaraf, ,206,40,9,97,أفأمن أهل القرى أن يأتيهم بأسنا بياتا وهم نائمون,afamn ahl al9ru an yatyhm basna byata whm naamwn
1051,7,Al-Aaraf, ,206,38,9,98,أوأمن أهل القرى أن يأتيهم بأسنا ضحى وهم يلعبون,awamn ahl al9ru an yatyhm basna 87u whm yl3bwn
1052,7,Al-Aaraf, ,206,44,10,99,أفأمنوا مكر الله فلا يأمن مكر الله إلا القوم الخاسرون,afamnwa mkr allh fla yamn mkr allh ala al9wm al5asrwn
1053,7,Al-Aaraf, ,206,79,19,100,أولم يهد للذين يرثون الأرض من بعد أهلها أن لو نشاء أصبناهم بذنوبهم ونطبع على قلوبهم فهم لا يسمعون,awlm yhd ll1yn yr0wn alar8 mn b3d ahlha an lw n2aa acbnahm b1nwbhm wn6b3 3lu 9lwbhm fhm la ysm3wn
1054,7,Al-Aaraf, ,206,102,23,101,تلك القرى نقص عليك من أنبائها ولقد جاءتهم رسلهم بالبينات فما كانوا ليؤمنوا بما كذبوا من قبل كذلك يطبع الله على قلوب الكافرين,tlk al9ru n9c 3lyk mn anbaaha wl9d jaathm rslhm balbynat fma kanwa lyamnwa bma k1bwa mn 9bl k1lk y6b3 allh 3lu 9lwb alkafryn
1055,7,Al-Aaraf, ,206,41,9,102,وما وجدنا لأكثرهم من عهد وإن وجدنا أكثرهم لفاسقين,wma wjdna lak0rhm mn 3hd wan wjdna ak0rhm lfas9yn
1056,7,Al-Aaraf, ,206,71,16,103,ثم بعثنا من بعدهم موسى بآياتنا إلى فرعون وملئه فظلموا بها فانظر كيف كان عاقبة المفسدين,0m b30na mn b3dhm mwsu bayatna alu fr3wn wmlah f4lmwa bha fan4r kyf kan 3a9bt almfsdyn
1057,7,Al-Aaraf, ,206,34,9,104,وقال موسى يا فرعون إني رسول من رب العالمين,w9al mwsu ya fr3wn any rswl mn rb al3almyn
1058,7,Al-Aaraf, ,206,65,18,105,حقيق على أن لا أقول على الله إلا الحق قد جئتكم ببينة من ربكم فأرسل معي بني إسرائيل,79y9 3lu an la a9wl 3lu allh ala al79 9d jatkm bbynt mn rbkm farsl m3y bny asraayl
1059,7,Al-Aaraf, ,206,36,11,106,قال إن كنت جئت بآية فأت بها إن كنت من الصادقين,9al an knt jat bayt fat bha an knt mn alcad9yn
1060,7,Al-Aaraf, ,206,24,6,107,فألقى عصاه فإذا هي ثعبان مبين,fal9u 3cah fa1a hy 03ban mbyn
1061,7,Al-Aaraf, ,206,26,6,108,ونزع يده فإذا هي بيضاء للناظرين,wnz3 ydh fa1a hy by8aa llna4ryn
1062,7,Al-Aaraf, ,206,32,9,109,قال الملأ من قوم فرعون إن هذا لساحر عليم,9al almla mn 9wm fr3wn an h1a lsa7r 3lym
1063,7,Al-Aaraf, ,206,30,7,110,يريد أن يخرجكم من أرضكم فماذا تأمرون,yryd an y5rjkm mn ar8km fma1a tamrwn
1064,7,Al-Aaraf, ,206,34,7,111,قالوا أرجه وأخاه وأرسل في المدائن حاشرين,9alwa arjh wa5ah warsl fy almdaan 7a2ryn
1065,7,Al-Aaraf, ,206,16,4,112,يأتوك بكل ساحر عليم,yatwk bkl sa7r 3lym
1066,7,Al-Aaraf, ,206,46,11,113,وجاء السحرة فرعون قالوا إن لنا لأجرا إن كنا نحن الغالبين,wjaa als7rt fr3wn 9alwa an lna lajra an kna n7n algalbyn
1067,7,Al-Aaraf, ,206,22,5,114,قال نعم وإنكم لمن المقربين,9al n3m wankm lmn alm9rbyn
1068,7,Al-Aaraf, ,206,40,11,115,قالوا يا موسى إما أن تلقي وإما أن نكون نحن الملقين,9alwa ya mwsu ama an tl9y wama an nkwn n7n alml9yn
1069,7,Al-Aaraf, ,206,55,11,116,قال ألقوا فلما ألقوا سحروا أعين الناس واسترهبوهم وجاءوا بسحر عظيم,9al al9wa flma al9wa s7rwa a3yn alnas wastrhbwhm wjaawa bs7r 34ym
1070,7,Al-Aaraf, ,206,41,11,117,وأوحينا إلى موسى أن ألق عصاك فإذا هي تلقف ما يأفكون,waw7yna alu mwsu an al9 3cak fa1a hy tl9f ma yafkwn
1071,7,Al-Aaraf, ,206,25,6,118,فوقع الحق وبطل ما كانوا يعملون,fw93 al79 wb6l ma kanwa y3mlwn
1072,7,Al-Aaraf, ,206,25,4,119,فغلبوا هنالك وانقلبوا صاغرين,fglbwa hnalk wan9lbwa cagryn
1073,7,Al-Aaraf, ,206,17,3,120,وألقي السحرة ساجدين,wal9y als7rt sajdyn
1074,7,Al-Aaraf, ,206,20,4,121,قالوا آمنا برب العالمين,9alwa amna brb al3almyn
1075,7,Al-Aaraf, ,206,12,3,122,رب موسى وهارون,rb mwsu wharwn
1076,7,Al-Aaraf, ,206,77,19,123,قال فرعون آمنتم به قبل أن آذن لكم إن هذا لمكر مكرتموه في المدينة لتخرجوا منها أهلها فسوف تعلمون,9al fr3wn amntm bh 9bl an a1n lkm an h1a lmkr mkrtmwh fy almdynt lt5rjwa mnha ahlha fswf t3lmwn
1077,7,Al-Aaraf, ,206,41,8,124,لأقطعن أيديكم وأرجلكم من خلاف ثم لأصلبنكم أجمعين,la963n aydykm warjlkm mn 5laf 0m laclbnkm ajm3yn
1078,7,Al-Aaraf, ,206,22,5,125,قالوا إنا إلى ربنا منقلبون,9alwa ana alu rbna mn9lbwn
1079,7,Al-Aaraf, ,206,66,16,126,وما تنقم منا إلا أن آمنا بآيات ربنا لما جاءتنا ربنا أفرغ علينا صبرا وتوفنا مسلمين,wma tn9m mna ala an amna bayat rbna lma jaatna rbna afrg 3lyna cbra wtwfna mslmyn
1080,7,Al-Aaraf, ,206,100,21,127,وقال الملأ من قوم فرعون أتذر موسى وقومه ليفسدوا في الأرض ويذرك وآلهتك قال سنقتل أبناءهم ونستحيي نساءهم وإنا فوقهم قاهرون,w9al almla mn 9wm fr3wn at1r mwsu w9wmh lyfsdwa fy alar8 wy1rk walhtk 9al sn9tl abnaahm wnst7yy nsaahm wana fw9hm 9ahrwn
1081,7,Al-Aaraf, ,206,76,16,128,قال موسى لقومه استعينوا بالله واصبروا إن الأرض لله يورثها من يشاء من عباده والعاقبة للمتقين,9al mwsu l9wmh ast3ynwa ballh wacbrwa an alar8 llh ywr0ha mn y2aa mn 3badh wal3a9bt llmt9yn
1082,7,Al-Aaraf, ,206,88,22,129,قالوا أوذينا من قبل أن تأتينا ومن بعد ما جئتنا قال عسى ربكم أن يهلك عدوكم ويستخلفكم في الأرض فينظر كيف تعملون,9alwa aw1yna mn 9bl an tatyna wmn b3d ma jatna 9al 3su rbkm an yhlk 3dwkm wyst5lfkm fy alar8 fyn4r kyf t3mlwn
